@relation MLDATA

@attribute CODE numeric
@attribute SMOKING numeric
@attribute OBESITY numeric
@attribute DRINKING numeric
@attribute LACK_FRUIT numeric
@attribute LACK_EXERCISE numeric
@attribute AGE65_OVER numeric
@attribute AGE25_44 numeric
@attribute EARLY_SCHOOL_LEAVERS numeric
@attribute LOW_INCOME_HOUSEHOLD numeric
@attribute HCC_HOLDER numeric
@attribute UNEMPLOYMENT numeric
@attribute RAC_PLACE numeric
@attribute CLIENTS_WITH_CARER numeric
@attribute TOTAL_CLIENTS numeric
@attribute DIABETES numeric
@attribute MENTAL_DISEASE numeric
@attribute PSYCHOLOGICAL_DISTRESS numeric
@attribute HYPERTENSION numeric
@attribute 'AIR_ POLLUTANTS' numeric
@attribute STROKE numeric

@data
62,17.079109,29.543647,21.495536,70.456353,51.365799,16.742826,35.340888,17.821242,41.839579,9.539289,5.124632,121.588089,12.857143,14.308014,1.79883,6.796928,11.491053,22.564422,0,0.778433
63,17.700662,27.511364,7.866758,72.488636,82.628019,16.306548,25.515389,33.964874,65.578027,11.794263,12.257672,127.076091,24.924925,13.813451,5.682772,3.67219,19.42557,24.582364,0,0.839075
64,15.503619,31.773861,18.250176,68.226139,66.082862,16.465107,23.909596,32.681075,37.017759,6.67024,4.13774,53.884149,8.571429,24.633764,4.471408,10.692349,11.552934,22.158526,0.613888,1.073125
65,18.142482,36.976365,19.017574,63.023635,64.841358,31.822355,16.984163,37.03181,58.392435,6.811451,6.590724,39.215686,17.848411,24.197993,4.603915,10.634783,12.019564,23.544504,0,1.060692
66,16.630156,36.474656,15.380865,63.525344,69.143325,10.475864,31.861948,42.167168,32.785834,6.285422,4.519055,0,15.673981,25.680177,6.558004,9.37268,11.516269,23.046868,0.530005,1.105537
67,11.244189,32.359937,17.137233,67.640063,63.991645,14.862769,24.97028,35.967785,29.995347,4.577205,3.062906,165.608771,12.042503,25.743412,5.169983,8.297065,9.202673,23.173955,0.001881,0.931018
68,17.218937,36.312213,11.20551,63.687787,72.034326,15.137741,28.650138,33.643823,43.570695,9.34143,8.654581,54.448226,13.180516,29.345713,7.435408,9.165838,12.052933,23.146502,6.330155,1.09534
69,10.125892,24.665893,16.895078,75.334107,55.622823,19.035655,27.783276,18.300237,26.039536,2.988134,4.920566,95.067906,24.904943,21.030036,3.462987,6.346143,7.146028,22.495834,0,0.668871
70,9.874645,19.071463,11.898502,80.928537,64.653124,15.14866,34.941374,16.434114,30.341416,3.578681,5.057623,54.592038,25.670945,19.35304,4.130735,4.482839,7.503655,23.557028,0,0.670372
71,19.960472,30.524643,7.703021,69.475357,81.660839,15.237392,26.189422,35.396223,63.022648,12.62147,16.069419,67.594433,20.891365,19.500589,6.71527,4.797547,19.073067,24.4145,0,1.022409
